Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
Отдел МТО;Легковой административный транспорт;01.08.2022;01.08.2022
ВПС Солнцево;Машина с носилками;01.08.2022;01.08.2022
ВПС Хорошёво;Машина с носилками;01.08.2022;02.08.2022
Администрация;Легковой административный транспорт;01.08.2022;02.08.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.08.2022;01.08.2022
ВПС Перово;Машина с носилками;01.08.2022;05.08.2022
3 ОКМНЛ;Машина с носилками;01.08.2022;01.08.2022
ВПС Дегунино;Машина с носилками;01.08.2022;01.08.2022
ВПС Хорошёво;Машина с носилками;01.08.2022;01.08.2022
ВПС Царицыно;Машина с носилками;01.08.2022;01.08.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.08.2022;01.08.2022
ВПС Ростокино;Скорая помощь (Центр);01.08.2022;01.08.2022
ВПС Царицыно;Легковой административный транспорт;01.08.2022;02.08.2022
2 ОКМНЛ;Машина с носилками;01.08.2022;02.08.2022
ВПС Куркино;Машина с носилками;01.08.2022;02.08.2022
Социальная служба;Машина с носилками;01.08.2022;04.08.2022
Отдел МТО;Легковой административный транспорт;02.08.2022;02.08.2022
ВПС Зеленоград;Машина с носилками;02.08.2022;02.08.2022
ВПС Царицыно;Машина с носилками;02.08.2022;02.08.2022
ВПС Куркино;Машина с носилками;02.08.2022;02.08.2022
ВПС Царицыно;Машина с носилками;02.08.2022;02.08.2022
ВПС Бутово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.08.2022;02.08.2022
Дегунино;Машина с носилками;02.08.2022;03.08.2022
ВПС Ростокино;Машина с носилками;02.08.2022;02.08.2022
ВПС Бутово;Машина с носилками;02.08.2022;02.08.2022
ВПС ПМХ;Машина с носилками;02.08.2022;02.08.2022
ВПС Ростокино;Машина с носилками;02.08.2022;02.08.2022
ВПС Хорошёво;Машина с носилками;02.08.2022;02.08.2022
ВПС Люблино;Машина с носилками;02.08.2022;02.08.2022
ВПС Преображенское;Машина с носилками;02.08.2022;02.08.2022
3 ОКМНЛ;Машина с носилками;02.08.2022;03.08.2022
Некрасовка;Машина с носилками;02.08.2022;02.08.2022
3 ОКМНЛ;Машина с носилками;02.08.2022;03.08.2022
3 ОКМНЛ;Машина с носилками;02.08.2022;03.08.2022
Ростокино;Машина с носилками;02.08.2022;04.08.2022
Ростокино;Машина с носилками;02.08.2022;05.08.2022
7 ОКМНЛ;Машина с носилками;02.08.2022;03.08.2022
Куркино;Машина с носилками;02.08.2022;06.08.2022
ВПС Ростокино;Машина с носилками;02.08.2022;04.08.2022
ВПС Бутово;Машина с носилками;02.08.2022;03.08.2022
ПМДХ;Машина с носилками;02.08.2022;08.08.2022
ВПС Зеленоград;Машина с носилками;02.08.2022;03.08.2022
Координационный центр;Скорая помощь (Центр);02.08.2022;02.08.2022
Координационный центр;Скорая помощь (Центр);02.08.2022;02.08.2022
Отдел МТО;Легковой административный транспорт;03.08.2022;03.08.2022
2 ОКМНЛ;Машина с носилками;03.08.2022;03.08.2022
ВПС Некрасовка;Машина с носилками;03.08.2022;03.08.2022
ВПС Куркино;Машина с носилками;03.08.2022;03.08.2022
Дегунино;Машина с носилками;03.08.2022;04.08.2022
Дегунино;Машина с носилками;03.08.2022;04.08.2022
ВПС Черемушкинская;Машина с носилками;03.08.2022;03.08.2022
Дегунино;Машина с носилками;03.08.2022;05.08.2022
ВПС Некрасовка;Машина с носилками;03.08.2022;03.08.2022
ВПС Куркино;Машина с носилками;03.08.2022;03.08.2022
ВПС Преображенское;Машина с носилками;03.08.2022;03.08.2022
ВПС Зеленоград;Машина с носилками;03.08.2022;03.08.2022
ВПС Куркино;Машина с носилками;03.08.2022;03.08.2022
Зеленоград;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );03.08.2022;03.08.2022
ВПС Дегунино;Машина с носилками;03.08.2022;03.08.2022
ВПС Царицыно;Машина с носилками;03.08.2022;03.08.2022
Лаборатория;Легковой административный транспорт;03.08.2022;03.08.2022
ДСУ Люблино;Машина с носилками;03.08.2022;08.08.2022
Бутово;Машина с носилками;03.08.2022;04.08.2022
ВПС Царицыно;Машина с носилками;03.08.2022;03.08.2022
ВПС ПМХ;Машина с носилками;03.08.2022;03.08.2022
5 ОКМНЛ;Машина с носилками;03.08.2022;04.08.2022
5 ОКМНЛ;Машина с носилками;03.08.2022;04.08.2022
ВПС Куркино;Машина с носилками;03.08.2022;03.08.2022
5 ОКМНЛ;Машина с носилками;03.08.2022;04.08.2022
Социальная служба;Машина с носилками;03.08.2022;09.08.2022
ВПС Ростокино;Скорая помощь (Центр);03.08.2022;03.08.2022
ВПС Зеленоград;Машина с носилками;03.08.2022;03.08.2022
2 ОКМНЛ;Машина с носилками;03.08.2022;04.08.2022
Социальная служба;Легковой административный транспорт;03.08.2022;08.08.2022
ДСУ Люблино;Машина с носилками;03.08.2022;03.08.2022
Зеленоград;Машина с носилками;03.08.2022;04.08.2022
Царицыно;Машина с носилками;03.08.2022;04.08.2022
Куркино;Машина с носилками;03.08.2022;05.08.2022
ВПС Солнцево;Машина с носилками;03.08.2022;06.08.2022
ВПС Хорошёво;Машина с носилками;03.08.2022;05.08.2022
ВПС ЦПП;Скорая помощь (Центр);04.08.2022;03.08.2022
Отдел МТО;Легковой административный транспорт;04.08.2022;04.08.2022
ВПС Преображенское;Машина с носилками;04.08.2022;04.08.2022
ВПС Дегунино;Машина с носилками;04.08.2022;04.08.2022
ВПС Царицыно;Машина с носилками;04.08.2022;04.08.2022
ВПС Дегунино;Машина с носилками;04.08.2022;04.08.2022
ВПС ЦПП;Машина с носилками;04.08.2022;04.08.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );04.08.2022;04.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;03.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;04.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;05.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;08.08.2022
ВПС Дегунино;Машина с носилками;04.08.2022;04.08.2022
ВПС Ростокино;Машина с носилками;04.08.2022;04.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;09.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;10.08.2022
ВПС Преображенское;Машина с носилками;04.08.2022;04.08.2022
Аптека;Грузовой административный транспорт;04.08.2022;11.08.2022
Респ.центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );04.08.2022;04.08.2022
ВПС Люблино;Машина с носилками;04.08.2022;04.08.2022
Медицинский архив;Легковой административный транспорт;04.08.2022;05.08.2022
ВПС Куркино;Машина с носилками;04.08.2022;04.08.2022
5 ОКМНЛ;Машина с носилками;04.08.2022;05.08.2022
ВПС ЦПП;Машина с носилками;04.08.2022;06.08.2022
ВПС ПМХ;Машина с носилками;04.08.2022;06.08.2022
ВПС Дегунино;Машина с носилками;04.08.2022;04.08.2022
ПМХ;Машина с носилками;04.08.2022;05.08.2022
ПМХ;Машина с носилками;04.08.2022;05.08.2022
Царицыно;Машина с носилками;04.08.2022;04.08.2022
Зеленоград;Машина с носилками;04.08.2022;05.08.2022
2 ОКМНЛ;Машина с носилками;04.08.2022;05.08.2022
ВПС ЦПП;Машина с носилками;04.08.2022;04.08.2022
7 ОКМНЛ;Машина с носилками;04.08.2022;05.08.2022
3 ОКМНЛ;Машина с носилками;04.08.2022;05.08.2022
2 ОКМНЛ;Машина с носилками;04.08.2022;05.08.2022
Бутово;Машина с носилками;04.08.2022;05.08.2022
ВПС ЦПП;Машина с носилками;04.08.2022;06.08.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );04.08.2022;04.08.2022
ВПС ЦПП;Скорая помощь (Центр);04.08.2022;04.08.2022
ВПС ЦПП;Скорая помощь (Центр);04.08.2022;04.08.2022
Отдел МТО;Легковой административный транспорт;05.08.2022;05.08.2022
ВПС Некрасовка;Машина с носилками;05.08.2022;05.08.2022
ВПС Вороново;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.08.2022;05.08.2022
ВПС Некрасовка;Машина с носилками;05.08.2022;05.08.2022
ВПС Царицыно;Машина с носилками;05.08.2022;05.08.2022
ВПС Дегунино;Скорая помощь (Центр);05.08.2022;05.08.2022
Дегунино;Машина с носилками;05.08.2022;08.08.2022
ВПС Хорошёво;Машина с носилками;05.08.2022;05.08.2022
Дегунино;Машина с носилками;05.08.2022;08.08.2022
ВПС Некрасовка;Машина с носилками;05.08.2022;05.08.2022
ВПС Хорошёво;Машина с носилками;05.08.2022;05.08.2022
ВПС ПМХ;Машина с носилками;05.08.2022;05.08.2022
ВПС Дегунино;Скорая помощь (Центр);05.08.2022;05.08.2022
ВПС Хорошёво;Машина с носилками;05.08.2022;05.08.2022
ВПС Дегунино;Машина с носилками;05.08.2022;05.08.2022
ВПС Люблино;Скорая помощь (Центр);05.08.2022;05.08.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.08.2022;05.08.2022
ВПС ЦПП;Машина с носилками;05.08.2022;06.08.2022
ВПС Люблино;Машина с носилками;05.08.2022;05.08.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.08.2022;06.08.2022
6 ОКМНЛ;Машина с носилками;05.08.2022;08.08.2022
ВПС Преображенское;Машина с носилками;05.08.2022;05.08.2022
ВПС Некрасовка;Машина с носилками;05.08.2022;06.08.2022
ВПС Люблино;Машина с носилками;05.08.2022;08.08.2022
Координационный центр;Скорая помощь (Центр);05.08.2022;05.08.2022
Координационный центр;Скорая помощь (Центр);05.08.2022;05.08.2022
ВПС Солнцево;Машина с носилками;06.08.2022;06.08.2022
ВПС ЦПП;Машина с носилками;06.08.2022;06.08.2022
ВПС Преображенское;Машина с носилками;06.08.2022;06.08.2022
ВПС Ростокино;Машина с носилками;06.08.2022;06.08.2022
ВПС Хорошёво;Машина с носилками;06.08.2022;06.08.2022
ВПС ЦПП;Машина с носилками;06.08.2022;06.08.2022
ВПС Хорошёво;Машина с носилками;06.08.2022;06.08.2022
ВПС Преображенское;Машина с носилками;06.08.2022;06.08.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.08.2022;06.08.2022
ВПС Черемушкинская;Машина с носилками;06.08.2022;06.08.2022
ВПС Дегунино;Машина с носилками;06.08.2022;06.08.2022
ВПС Царицыно;Машина с носилками;06.08.2022;06.08.2022
ВПС Хорошёво;Машина с носилками;06.08.2022;06.08.2022
ВПС ПМХ;Машина с носилками;06.08.2022;06.08.2022
ВПС Куркино;Машина с носилками;06.08.2022;06.08.2022
ВПС Преображенское;Машина с носилками;06.08.2022;06.08.2022
Координационный центр;Скорая помощь (Центр);06.08.2022;06.08.2022
ВПС Солнцево;Машина с носилками;07.08.2022;07.08.2022
ВПС Черемушкинская;Машина с носилками;07.08.2022;07.08.2022
ВПС Бутово;Машина с носилками;07.08.2022;07.08.2022
ВПС Некрасовка;Машина с носилками;07.08.2022;07.08.2022
ВПС Черемушкинская;Машина с носилками;07.08.2022;07.08.2022
ВПС ЦПП;Машина с носилками;07.08.2022;07.08.2022
ВПС Бутово;Машина с носилками;07.08.2022;07.08.2022
ВПС Царицыно;Машина с носилками;07.08.2022;07.08.2022
ВПС Дегунино;Машина с носилками;07.08.2022;07.08.2022
ВПС ПМХ;Машина с носилками;07.08.2022;07.08.2022
ВПС Некрасовка;Машина с носилками;07.08.2022;07.08.2022
ВПС Солнцево;Машина с носилками;07.08.2022;07.08.2022
Некрасовка;Машина с носилками;07.08.2022;08.08.2022
ВПС Преображенское;Машина с носилками;07.08.2022;07.08.2022
ВПС ПМХ;Скорая помощь (Центр);07.08.2022;07.08.2022
ВПС ПМХ;Машина с носилками;07.08.2022;07.08.2022
ВПС ПМХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );07.08.2022;07.08.2022
ВПС ПМХ;Скорая помощь (Центр);07.08.2022;07.08.2022
Отдел МТО;Легковой административный транспорт;08.08.2022;08.08.2022
ВПС Преображенское;Машина с носилками;08.08.2022;08.08.2022
ВПС Царицыно;Машина с носилками;08.08.2022;08.08.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.08.2022;08.08.2022
ВПС Некрасовка;Машина с носилками;08.08.2022;08.08.2022
ВПС Дегунино;Машина с носилками;08.08.2022;08.08.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.08.2022;08.08.2022
4 ОКМНЛ;Машина с носилками;08.08.2022;09.08.2022
4 ОКМНЛ;Машина с носилками;08.08.2022;09.08.2022
ВПС ЦПП;Машина с носилками;08.08.2022;08.08.2022
ВПС Перово;Машина с носилками;08.08.2022;08.08.2022
ДСУ Люблино;Машина с носилками;08.08.2022;09.08.2022
ВПС ПМХ;Машина с носилками;08.08.2022;08.08.2022
ВПС Солнцево;Машина с носилками;08.08.2022;08.08.2022
ВПС ЦПП;Машина с носилками;08.08.2022;10.08.2022
Зеленоград;Машина с носилками;08.08.2022;09.08.2022
Социальная служба;Машина с носилками;08.08.2022;09.08.2022
ВПС ПМХ;Машина с носилками;08.08.2022;08.08.2022
